# T        <|M|>         <E>           chi            C
  2.4410     0.26814311    -1.16404067   266.37203318    24.24597595
  2.4425     0.26614767    -1.16194000   256.24471248    23.98938009
  2.4440     0.25747056    -1.16183156   242.51385942    22.91412622
  2.4455     0.24732378    -1.15963333   228.46431465    22.34239656
  2.4470     0.25571067    -1.15553267   214.87946654    21.61156452
  2.4485     0.25323289    -1.15560422   234.37614869    23.59192938
  2.4500     0.27020000    -1.15761733   248.46125288    23.16927601
  2.4500     0.24738519    -1.14331111    36.29710053     3.71310936
  2.4530     0.23782519    -1.14667704    31.90100428     3.21360148
  2.4560     0.25656148    -1.15088741    31.10485840     3.19942150
  2.4590     0.22361185    -1.14351259    31.28306334     3.38969910
  2.4621     0.30572296    -1.15573037    32.88426474     3.58412249
  2.4651     0.23314667    -1.13176593    32.86883617     3.23632305
  2.4681     0.19917704    -1.12205778    30.11305008     3.11875028
  2.4711     0.23623704    -1.13311111    29.39752791     2.92160582
  2.4741     0.21832667    -1.12873926    31.09743834     2.74029533
  2.4771     0.22378074    -1.12890222    31.60805890     2.97823790
  2.4802     0.21985630    -1.12021333    30.39388322     2.92359998
  2.4832     0.20454296    -1.11563556    23.15667442     3.15061665
  2.4862     0.18603037    -1.10534222    21.32639578     3.07424395
  2.4892     0.26548074    -1.12079556    26.19542365     2.90408059
  2.4922     0.20523556    -1.11258963    26.80542572     2.90789734
  2.4952     0.23174074    -1.11005630    26.21844782     3.02827429
  2.4982     0.17878667    -1.10400593    25.47190429     2.75256128
  2.5013     0.20970370    -1.10473037    25.36027528     3.10954885
  2.5043     0.19361407    -1.09894963    28.19081722     2.75704003
  2.5073     0.23364963    -1.10563704    27.79185629     3.01278713
  2.5103     0.18900222    -1.10496593    19.87597350     2.80050363
  2.5133     0.17863852    -1.08941778    18.61187048     2.68221363
  2.5163     0.16426444    -1.08615852    18.37579799     2.46406132
  2.5193     0.19660889    -1.08270222    20.48195448     2.55615809
  2.5224     0.20417111    -1.09129037    26.98126135     2.88755800
  2.5254     0.21737037    -1.08355852    26.81276891     3.19447094
  2.5284     0.19644370    -1.08582074    23.94024858     2.39019888
  2.5314     0.21507704    -1.08610963    21.39921924     2.91514871
  2.5344     0.20766296    -1.07845481    19.79993503     2.80149400
  2.5374     0.17462741    -1.07612741    18.92975754     2.61317086
  2.5405     0.17968296    -1.06799852    16.45896963     2.44073338
  2.5435     0.18869185    -1.06857037    21.58254240     2.66907992
  2.5465     0.20456963    -1.07420000    30.45450997     2.70578737
  2.5495     0.19170519    -1.06882963    22.38829406     2.86234496
  2.5525     0.19774370    -1.06667111    22.31307031     3.04910846
  2.5555     0.15460519    -1.05250222    14.54664922     2.32760177
  2.5585     0.18245778    -1.05374519    19.23270116     2.61131212
  2.5616     0.15412889    -1.05390222    15.02445785     2.43921694
  2.5646     0.19344963    -1.05401630    21.73818466     2.44890715
  2.5676     0.17325852    -1.04511852    18.85377736     2.66567756
  2.5706     0.19150074    -1.05376000    20.00529758     2.62182953
