# T        <M>         <E>           chi            C            frac_acept
  1.9920     0.91697216    -1.75504260     2.28736250     5.25908254     0.07623765
  1.9940     0.91357824    -1.74966783     2.82958790     5.72532048     0.07761136
  1.9960     0.91400448    -1.75132418     2.98810259     5.78817074     0.07714151
  1.9980     0.90587264    -1.74201477     5.16098576     6.20230163     0.08020932
  2.0000     0.90983680    -1.74207749     3.21202453     5.76843190     0.08003873
  2.0020     0.90860800    -1.74087931     3.16080231     6.19331748     0.08098036
  2.0040     0.90864640    -1.73942660     2.85152343     5.89545562     0.08095187
  2.0060     0.91184256    -1.74541445     2.90338000     5.74928842     0.07918640
  2.0080     0.91052928    -1.74338941     2.90657804     5.67627522     0.08045673
  2.0100     0.90800832    -1.73888123     3.41217111     6.17118399     0.08169218
  2.0120     0.90663744    -1.73713787     3.57466028     6.21956521     0.08198728
  2.0140     0.90598080    -1.73803269     5.48242058     6.38880137     0.08216139
  2.0160     0.90850368    -1.73772034     2.89385157     5.89588509     0.08200648
  2.0180     0.90443904    -1.73139835     3.87500553     6.34262484     0.08392302
  2.0200     0.90301760    -1.72693121     3.36548490     5.97165857     0.08534731
  2.0220     0.90308864    -1.72828029     3.75614911     6.08340093     0.08465757
  2.0240     0.90483584    -1.72882565     3.34136112     5.99326358     0.08480032
  2.0260     0.90019584    -1.72334981     3.85293988     6.27339147     0.08681448
  2.0280     0.90075904    -1.72406653     3.53878492     6.27764995     0.08648322
  2.0300     0.90441472    -1.72911869     3.28487199     5.93590130     0.08504357
  2.0320     0.90025792    -1.72086148     3.33507440     5.96786106     0.08754839
  2.0340     0.90018688    -1.72049537     3.56806174     6.23640736     0.08770938
  2.0360     0.89978304    -1.72053763     3.97514199     6.61662885     0.08812515
  2.0380     0.89569728    -1.71325698     4.09469452     6.41498550     0.09017516
  2.0400     0.89200256    -1.70864643     5.51284989     7.20478560     0.09189262
  2.0420     0.89704576    -1.71409792     4.06549106     6.37740602     0.08999944
  2.0440     0.89538560    -1.70904582     3.69841983     6.45840993     0.09164489
  2.0460     0.89232896    -1.70910590     5.70035356     6.65144654     0.09162761
  2.0480     0.89547136    -1.71156352     4.27386216     6.53104936     0.09090746
  2.0500     0.89151744    -1.70417277     4.09796214     6.71379552     0.09332619
  2.0520     0.89181440    -1.70355078     4.36947952     6.61910329     0.09385205
  2.0540     0.89068800    -1.70248832     4.39223280     6.57893929     0.09413915
  2.0560     0.88607616    -1.70048510     6.56575425     7.24136139     0.09502413
  2.0580     0.88800640    -1.69847676     5.78575150     7.33925498     0.09590110
  2.0600     0.89030848    -1.69979004     3.89253946     6.59389863     0.09520304
  2.0620     0.88976000    -1.69665920     3.77676995     6.57761071     0.09616643
  2.0640     0.88923840    -1.69769985     4.14086458     6.58679887     0.09582877
  2.0660     0.88795648    -1.69494781     4.19733128     6.74744788     0.09690738
  2.0680     0.88667200    -1.69570182     5.39475527     6.28248023     0.09672847
  2.0700     0.87964032    -1.68659205     7.13850348     7.21742992     0.09975435
  2.0720     0.88288576    -1.68749570     5.28531071     6.89329169     0.09920832
  2.0740     0.87041984    -1.67792772    16.14893278     8.73611440     0.10288170
  2.0760     0.88340864    -1.68535552     4.52777808     6.76959756     0.10003761
  2.0780     0.88137152    -1.68376703     5.41846464     7.13634117     0.10045977
  2.0800     0.88137472    -1.68133379     4.96609913     6.86771008     0.10127818
  2.0820     0.87159424    -1.67502080     9.68271771     7.66288702     0.10347670
  2.0840     0.87102592    -1.67162371     7.35253549     7.54513613     0.10463533
  2.0860     0.88118592    -1.68027391     4.73357037     7.06465005     0.10220060
  2.0880     0.87380096    -1.67140219     6.30934795     7.38823312     0.10513271
  2.0900     0.87249664    -1.66976640     6.99162139     7.48589318     0.10579588
  2.0920     0.88126400    -1.67938817     4.29594106     6.68274528     0.10255075
  2.0940     0.87835392    -1.67298177     4.68498336     6.93460299     0.10468334
  2.0960     0.87217600    -1.66725894     6.34431263     7.63695675     0.10669206
  2.0980     0.86166656    -1.65716990    10.21224575     8.56456879     0.10972851
  2.1000     0.87629504    -1.66984452     4.69534233     6.52964522     0.10527674
  2.1020     0.87583168    -1.66765437     4.84978088     6.80080062     0.10648018
  2.1040     0.87027904    -1.66068733     5.42639091     7.21766487     0.10903909
  2.1060     0.86620800    -1.65613189     6.72293402     7.85940426     0.11067045
  2.1080     0.86698496    -1.65334274     5.94095811     7.58785262     0.11093195
  2.1100     0.86535168    -1.65555840     7.88700714     8.16471808     0.11063813
  2.1120     0.86851008    -1.65692930     6.90739769     7.61954986     0.10980052
  2.1140     0.86452288    -1.64948478     6.36255231     7.76501350     0.11286033
  2.1160     0.86566016    -1.65058687     5.90054348     7.81905035     0.11239560
  2.1180     0.86221632    -1.64735617     7.88924193     8.00294560     0.11393319
  2.1200     0.85884992    -1.64313220     7.54287748     7.96634088     0.11552551
  2.1220     0.86420672    -1.64852358     5.87777275     7.51111529     0.11336571
  2.1240     0.84831168    -1.63390595    11.46882965     8.50841922     0.11865829
  2.1260     0.86130560    -1.64191365     5.54533737     7.35079234     0.11546181
  2.1280     0.84906048    -1.62843909     9.04236531     8.30662852     0.11992318
  2.1300     0.84808512    -1.63128956    14.56483822     8.86635838     0.11929650
  2.1320     0.84644672    -1.62774146    11.39888942     9.07777824     0.12114839
  2.1340     0.84633536    -1.62183937     8.15427750     8.38220187     0.12274967
  2.1360     0.84183488    -1.62140794    11.36121694     7.89663466     0.12299068
  2.1380     0.85069312    -1.62846205     7.63436165     8.08975561     0.12080272
  2.1400     0.84690880    -1.62285053     9.23797560     8.08411665     0.12261972
  2.1420     0.82267200    -1.60592765    25.46547840    10.66239207     0.12840552
  2.1440     0.82380800    -1.60652806    27.02346100    11.55121562     0.12839944
  2.1460     0.82295040    -1.60943490    28.55381722    10.83978346     0.12784413
  2.1480     0.83376576    -1.60662020    13.35089802     9.24081969     0.12833767
  2.1500     0.83478848    -1.60910722    10.92092531     8.77302766     0.12741684
  2.1520     0.83702079    -1.60886499    47.12622888    35.58301477     0.12756694
  2.1540     0.83321504    -1.60421659    50.59779032    37.19528823     0.12944495
  2.1560     0.82858814    -1.60167491    73.49409906    37.60373879     0.13019875
  2.1580     0.83214015    -1.60402432    68.48580729    36.31621108     0.12938343
  2.1600     0.81806448    -1.59552959   125.35277893    40.22700156     0.13244886
  2.1620     0.82085296    -1.59271330    90.48524486    40.66290153     0.13334347
  2.1640     0.82237376    -1.59095136    64.27464969    37.81753455     0.13400926
  2.1660     0.82967231    -1.59499330    45.23526039    36.49023137     0.13275944
  2.1680     0.81894720    -1.58786398    74.85769169    39.64348644     0.13528188
  2.1700     0.81974544    -1.58467517    64.22244305    39.31807921     0.13633042
  2.1720     0.80986336    -1.58111039   116.98803208    42.49565357     0.13758808
  2.1740     0.82140126    -1.58511292    63.44241830    38.27256927     0.13616465
  2.1760     0.81863888    -1.58093756    57.46386378    38.22565344     0.13757592
  2.1780     0.80841421    -1.57391583    94.06654295    41.34364369     0.14037406
  2.1800     0.81404032    -1.57755013    68.06507894    37.53346006     0.13913264
  2.1820     0.81030463    -1.57316155    81.99790793    41.19973518     0.14066783
  2.1840     0.81053296    -1.57277310    76.03115625    39.19619113     0.14093833
  2.1860     0.80428592    -1.56618982    85.67232977    40.34412587     0.14323852
  2.1880     0.79103120    -1.55835391   143.80151491    42.34441386     0.14577625
  2.1900     0.79086832    -1.55516038   107.14395507    44.45301657     0.14728216
  2.1920     0.78499904    -1.55221604   147.89270917    43.56282413     0.14810829
  2.1940     0.79783984    -1.55832642   103.03106676    42.59736214     0.14619155
  2.1960     0.80117680    -1.55764515    75.28796680    42.52387872     0.14633684
  2.1980     0.78485936    -1.54904541   115.23385646    45.27283025     0.14953084
  2.2000     0.79299104    -1.55097830    89.61571147    40.96908151     0.14878328
  2.2020     0.78310352    -1.54222012   101.46918456    42.09933382     0.15183415
  2.2040     0.80035952    -1.54913573    55.87227545    39.69518357     0.14942171
  2.2060     0.77311359    -1.53422273   136.14167842    45.84745375     0.15484614
  2.2080     0.77683198    -1.53418497   116.35621969    43.61744845     0.15479182
  2.2100     0.78274944    -1.53593444    93.22995783    42.96439793     0.15417667
  2.2120     0.79097152    -1.53899228    64.20500773    38.99075533     0.15319982
  2.2140     0.77548028    -1.53101670   117.29951087    44.66777089     0.15614261
  2.2160     0.77980384    -1.53053190    93.36692993    43.58850584     0.15641942
  2.2180     0.76339600    -1.52131615   157.41081986    46.43135157     0.15952398
  2.2200     0.76382590    -1.52128677   170.44822267    45.36272024     0.15952782
  2.2220     0.76032557    -1.51479740   136.92947700    46.26158391     0.16188457
  2.2240     0.74525934    -1.50498817   179.94404860    50.88347972     0.16557044
  2.2260     0.73245726    -1.49868294   239.27919663    50.66236694     0.16793440
  2.2280     0.76420464    -1.51301599   123.28003035    44.26189878     0.16262229
  2.2300     0.75180430    -1.50683110   168.06516707    47.98443604     0.16489721
  2.2320     0.72587855    -1.49061312   211.95420238    50.25929451     0.17104903
  2.2340     0.73949806    -1.49277956   158.89657710    48.71061097     0.17011083
  2.2360     0.73186718    -1.48991553   182.52208921    50.23897707     0.17146673
  2.2380     0.71403070    -1.48354496   251.53671433    51.57879041     0.17368300
  2.2400     0.73885424    -1.49188703   166.38616080    49.50921243     0.17062549
  2.2420     0.72114605    -1.48587259   254.64574624    53.61899229     0.17282752
  2.2440     0.72867774    -1.48184870   187.67565815    51.05345757     0.17423495
  2.2460     0.68790174    -1.46875100   368.08610077    58.98624653     0.17931361
  2.2480     0.69980654    -1.46652448   284.33037586    54.46206512     0.18010605
  2.2500     0.70749310    -1.46986172   245.70289693    52.29745673     0.17889246
  2.2520     0.71186720    -1.47174885   260.07281074    55.19695164     0.17840364
  2.2540     0.70699470    -1.46934239   272.28039564    53.32079309     0.17908679
  2.2560     0.69519086    -1.46021925   281.91555066    57.19415995     0.18253513
  2.2580     0.70114336    -1.45918079   221.69496813    50.22593116     0.18299395
  2.2600     0.71037231    -1.46141851   197.09817413    51.41269886     0.18208294
  2.2620     0.69153359    -1.44952796   238.46238506    51.01072247     0.18639580
  2.2640     0.69792111    -1.45343518   217.77475791    51.68856157     0.18525206
  2.2660     0.68865167    -1.44763903   246.31780119    51.63371607     0.18726176
  2.2680     0.67804014    -1.44532291   302.80398412    52.99548532     0.18804084
  2.2700     0.64853295    -1.42724541   363.03352944    58.11700290     0.19475222
  2.2720     0.66345151    -1.43087196   290.63361472    54.69816783     0.19357336
  2.2740     0.67050256    -1.43048958   252.99633714    55.53438784     0.19372097
  2.2760     0.65114719    -1.42299839   330.83016624    57.38621056     0.19656495
  2.2780     0.63015358    -1.41157316   375.03730359    58.92681639     0.20085748
  2.2800     0.66520335    -1.42310116   274.43671200    53.45326797     0.19650799
  2.2820     0.66558030    -1.42643520   300.36321505    53.60551778     0.19537617
  2.2840     0.65395709    -1.41465730   285.56795775    54.83653767     0.19986791
  2.2860     0.66102175    -1.41798043   265.25117940    54.37445248     0.19864937
  2.2880     0.66067375    -1.41979163   265.95504188    52.82440288     0.19799246
  2.2900     0.55122975    -1.37433275   553.44886593    64.53588564     0.21441560
  2.2920     0.62408464    -1.39856646   364.27094860    58.44838590     0.20572149
  2.2940     0.61779024    -1.39320863   350.83565298    55.65569222     0.20779239
  2.2960     0.57748415    -1.37531938   434.07534402    57.88576170     0.21455041
  2.2980     0.64732622    -1.40337826   291.95926779    57.53534221     0.20449190
