# T        <M>         <E>           chi            C            frac_acept
  2.1420     0.85150311    -1.62620975     5.77738044     5.82429918     0.12156031
  2.1440     0.84387511    -1.61880627     6.67018160     5.94623989     0.12446089
  2.1460     0.83663600    -1.61303997     9.79638157     6.67259968     0.12639528
  2.1480     0.83832355    -1.60813778     6.30505311     6.17600653     0.12760463
  2.1500     0.84263022    -1.61582668     8.35476316     6.24413619     0.12459648
  2.1520     0.83171378    -1.60723981    44.60669148    26.07131087     0.12804068
  2.1540     0.82398467    -1.60280150    78.90148564    28.22251095     0.12968643
  2.1560     0.83080489    -1.60205202    41.23330198    25.98334415     0.12996467
  2.1580     0.82539811    -1.59797996    53.21052074    27.99106926     0.13132951
  2.1600     0.82255822    -1.59478951    67.30187076    27.47247949     0.13251263
  2.1620     0.83370778    -1.59989271    31.11913319    25.19175514     0.13065198
  2.1640     0.82584389    -1.59612336    53.76879278    25.70327024     0.13229206
  2.1660     0.82980389    -1.59696773    36.09019433    26.39900215     0.13194088
  2.1680     0.81477467    -1.58693599    81.34445311    27.35726908     0.13572712
  2.1700     0.81758067    -1.58351463    44.16147462    26.81030503     0.13675367
  2.1720     0.82533989    -1.58989472    40.12426387    26.99724037     0.13466257
  2.1740     0.81576133    -1.57987220    42.40359102    26.71290293     0.13796907
  2.1760     0.81601600    -1.57965287    43.84362830    27.02084179     0.13814946
  2.1780     0.81539700    -1.57785284    45.78117393    28.20703536     0.13904117
  2.1800     0.81098900    -1.57558647    48.90848638    26.72546759     0.13953487
  2.1820     0.78824412    -1.56353380   148.55923065    34.39245690     0.14411715
  2.1840     0.79549911    -1.56430576   104.33165258    32.08104240     0.14378313
  2.1860     0.81024767    -1.57102017    57.64895555    28.29334288     0.14131557
  2.1880     0.79388734    -1.55838758    69.21650310    30.02401023     0.14593752
  2.1900     0.78611222    -1.55327109    98.94134112    31.01143971     0.14755421
  2.1920     0.79207756    -1.55837129    89.04288903    31.65594984     0.14617364
  2.1940     0.80663400    -1.56308759    44.30784969    28.22746562     0.14461568
  2.1960     0.79204267    -1.55145176    66.57720508    31.06258847     0.14848754
  2.1980     0.79283622    -1.55124781    75.09280520    30.96283592     0.14858037
  2.2000     0.79246944    -1.54782493    51.72518043    28.25237549     0.14999456
  2.2020     0.77847948    -1.54498023   133.08050485    34.14231852     0.15095144
  2.2040     0.78382945    -1.54157668    84.92502120    31.29374646     0.15217078
  2.2060     0.78072933    -1.53862869    80.08956150    31.56438689     0.15317527
  2.2080     0.78985689    -1.54188093    54.04532693    27.73437888     0.15215189
  2.2100     0.77325556    -1.53078175    90.73543571    30.02879185     0.15598074
  2.2120     0.78224967    -1.53204648    64.17503354    30.46417773     0.15556478
  2.2140     0.76289280    -1.52084003    91.79395605    31.79540497     0.15951086
  2.2160     0.76289736    -1.52322263   147.27937814    33.95721901     0.15887683
  2.2180     0.76501503    -1.52296155   111.75497607    32.15923902     0.15900351
  2.2200     0.75956648    -1.51826864   113.52814797    33.46356558     0.16104511
  2.2220     0.77464033    -1.52455511    72.57454431    30.07943947     0.15844570
  2.2240     0.74878678    -1.51054217   150.64622218    35.62164992     0.16382925
  2.2260     0.77123856    -1.51882583    73.29798227    30.73109696     0.16056575
  2.2280     0.75394433    -1.50819959   112.05322046    32.33690025     0.16459962
  2.2300     0.73315678    -1.49397113   132.79737835    33.98561424     0.16970999
  2.2320     0.74077659    -1.49605180   122.62594394    33.02969005     0.16892250
  2.2340     0.73415133    -1.49301908   135.00194505    35.09454760     0.17015901
  2.2360     0.74482937    -1.49778194   108.75046490    32.62356708     0.16844287
  2.2380     0.73793024    -1.49360245   146.21592466    35.93150437     0.17025979
  2.2400     0.73651222    -1.49181826   119.00960618    34.07006241     0.17096616
  2.2420     0.69048256    -1.46759956   255.13905972    39.93182457     0.17955626
  2.2440     0.72057633    -1.47753931   136.71125010    35.84661124     0.17583057
  2.2460     0.70915733    -1.47418617   188.24256064    38.69417909     0.17743198
