# T        <|M|>         <E>           chi            C
  2.8621     0.11023037    -0.87855407     7.91352995     1.64747300
  2.8682     0.09985556    -0.87273778     5.75758846     1.55436834
  2.8742     0.11795259    -0.87259259     7.13213668     1.56674096
  2.8803     0.10356667    -0.87187407     7.21951485     1.63050292
  2.8864     0.10571926    -0.86836296     6.53103499     1.56226508
  2.8924     0.09360593    -0.86208889     4.34143610     1.57187381
  2.8985     0.09926148    -0.85659259     5.04366046     1.46502581
  2.9045     0.08692963    -0.85555259     5.01648146     1.44439986
  2.9106     0.10961481    -0.85662519     6.25047110     1.51891242
  2.9167     0.10155778    -0.85549185     5.44978178     1.48361646
  2.9227     0.10139704    -0.84693037     5.90324093     1.38263107
  2.9288     0.10317111    -0.85220889     6.00649793     1.48205845
  2.9348     0.10008222    -0.84452889     5.30397292     1.37557535
  2.9409     0.08970963    -0.84220741     4.18964125     1.43223655
  2.9470     0.09313704    -0.83888593     5.22634182     1.52976052
  2.9530     0.08938667    -0.83327111     4.41786955     1.43039923
  2.9591     0.08491111    -0.83004296     3.98464942     1.41160704
  2.9652     0.09297926    -0.83433333     5.40287732     1.42169671
  2.9712     0.09797778    -0.83083704     5.31209518     1.41639845
  2.9773     0.08831926    -0.82978963     4.23944803     1.44778728
  2.9833     0.08510667    -0.82249481     3.72707284     1.38274907
  2.9894     0.08942296    -0.82328593     4.95660739     1.41298918
  2.9955     0.08711185    -0.81890222     4.27512060     1.34616395
  3.0015     0.08676815    -0.81522074     4.04964680     1.33693434
  3.0076     0.08678963    -0.81068444     4.60949613     1.35511635
  3.0136     0.09127185    -0.81077037     4.56585973     1.33531183
  3.0197     0.08950593    -0.80959111     4.06251456     1.26100581
  3.0258     0.08583259    -0.80370667     3.93206403     1.32297923
  3.0318     0.08946815    -0.80785333     4.63998867     1.28143190
  3.0379     0.08111259    -0.80197778     3.60131116     1.28565671
  3.0439     0.08495259    -0.79886963     4.06814401     1.25624777
  3.0500     0.09549481    -0.79731111     4.77716888     1.25663843
